tweet_id,date,user_id,followers,place,lat,lng,text,source,hashtags,urls,retweet_id
590876829260652544,Wed Apr 22 13:56:28 +0000 2015,851321558,120,"Manhattan, NY",40.765886,-73.97652,"Happy #EarthDay! 🌸✨🌱 @ Central Park, South Entrance https://t.co/zOO7jBhW8d",Instagram,"[{u'indices': [6, 15], u'text': u'EarthDay'}]",['https://instagram.com/p/1x1dvGJs-C/'],
590876833127759874,Wed Apr 22 13:56:29 +0000 2015,267370906,405,"Clifton, NJ",40.869921,-74.161968,@sammiamxxo are you sure?,Twitter for iPhone,[],[],
590876837598908417,Wed Apr 22 13:56:30 +0000 2015,307583664,191,"Manhattan, NY",40.74741,-73.995471,Craving sangria soo bad this morning 🍓🍊🍏,Twitter for iPhone,[],[],
590876850047561728,Wed Apr 22 13:56:33 +0000 2015,1085161986,219,"Manhattan, NY",40.819153,-73.950391,@HeIsEdison her heels !! 🔥🔥😲,Twitter for iPhone,[],[],
590876860373934081,Wed Apr 22 13:56:36 +0000 2015,792546973,1916,"Manhattan, NY",40.716935,-74.006591,A REAL TREAT @ Arcade Bakery https://t.co/xMMonmut4L,Instagram,[],['https://instagram.com/p/1x5jQ9zesz/'],
590876860784992256,Wed Apr 22 13:56:36 +0000 2015,614008332,312,"New York, USA",42.664231,-73.786566,I still don't know what's going on,Twitter for iPhone,[],[],
590876861237956608,Wed Apr 22 13:56:36 +0000 2015,1870884913,32,"Bronx, NY",40.836128,-73.857296,@gregkellyfox5 did you eat paint chips when you was a kid,Twitter for iPhone,[],[],
590876862534025217,Wed Apr 22 13:56:36 +0000 2015,330567529,373,"Hoboken, NJ",40.737245,-74.030916,Just posted a photo @ Carlo's Bakery https://t.co/pZ1TwVXVXz,Instagram,[],['https://instagram.com/p/1x5jXTsyez/'],
590876875196596224,Wed Apr 22 13:56:39 +0000 2015,61777463,862,"Yonkers, NY",40.95136,-73.844689,Nursery Rhyme Time... (@ Yonkers Public Library - Grinton I. Will Branch - @yonkerslibrary) https://t.co/BwDYO09P5c http://t.co/dysslmQaHI,Foursquare,[],['https://www.swarmapp.com/c/aH53yCzvVRk'],
590876876761079810,Wed Apr 22 13:56:40 +0000 2015,2188330558,135,"Manhattan, NY",40.807369,-73.954253,@c_melito well since we are talking about what we want for birthdays that 9 MONTHS AWAY.....what do I want!?!?,Twitter for iPhone,[],[],
590876893223747584,Wed Apr 22 13:56:43 +0000 2015,13967652,17702,"Manhattan, NY",40.780533,-73.982405,"Good morning, beautiful. @ Chateau Chez Julie https://t.co/Wm2KAC7y7c",Instagram,[],['https://instagram.com/p/1x5kPZrqNP/'],
590876902233022465,Wed Apr 22 13:56:46 +0000 2015,217119818,600,"Valley Stream, NY",40.651798,-73.696879,More magnificent wedding gown inspirations. #weddingdress #bridetobe #weddinggowns http://t.co/hACiBVrU6H,Twitter for iPhone,"[{u'indices': [44, 57], u'text': u'weddingdress'}, {u'indices': [58, 68], u'text': u'bridetobe'}, {u'indices': [69, 82], u'text': u'weddinggowns'}]",['http://www.weddingandweddingflowers.co.uk/article.php?id=1594&gm=1&galid=12258'],
590876913574535168,Wed Apr 22 13:56:48 +0000 2015,88076399,333,"New York, USA",42.333489,-75.770635,Update: I'm freezing,Twitter for iPhone,[],[],
